country,id,notam_id,fir,from_utc,to_utc,lat,lon,radius_nm,qcode,raw
Alaska,107699365866865440,A173/2026,PAZA,2026-03-13T21:33:00Z,2026-12-31T23:59:00Z,,,,QXXXX,A0173/26 NOTAMN  Q) PAZA/QXXXX//////  A) PAZA  B) 2603132133  C) 2612312359  E) IT IS NO LONGER REQUIRED TO SEND A CPDLC POSITION REPORT TO  CONFIRM CPDLC CDA WHEN ENTERING THE ANCHORAGE ARTCC PAZA FIR. CPDLC  CDA IS CONFIRMED BY THE &quot;SET MAX UPLINK DELAY VALUE TO 300 SEC&quot;  UPLINK AND &quot;ROGER&quot; DOWNLINK MESSAGE EXCHANGE.  F) SFC  G) UNL    CREATED: 13 MAR 2026 21:51  SOURCE: PAZA
Alaska,107681789837280032,A1136/2025,PAZA,2025-09-12T18:00:00Z,2026-09-11T23:59:00Z,,,,QXXXX,"A1136/25 NOTAMN  Q) PAZA/QXXXX////000/999/  A) PAZA  B) 2509121800  C) 2609112359  E) ATTENTION ALL FLIGHT OPERATORS. FLIGHTS THAT EXPERIENCE OR  SUSPECT GNSS INTERFERENCE ENROUTE TO THE ANCHORAGE OCEANIC ENTRY   POINT MUST NOTIFY ANCHORAGE ATC. NOTIFICATION SHOULD BE VIA CPDLC,   SFO RADIO, OR SATCOM, CONFIRMING DEGRADATION OF NAVIGATION STATUS   AND DETAILS OF ONGOING LOSS/IMPACTS TO THE AIRCRAFT SYSTEMS AND  CAPABILITIES.     EXAMPLES OF NOTIFICATION:  GNSS INTERFERENCE RNP10 ONLY  NO DATA LINK  DEGRADED NAVIGATION NO GNSS    IN ADDITION, AIRLINE DISPATCHERS CAN DIRECTLY INFORM THE ANCHORAGE  OCEANIC SUPERVISOR TO MAKE THEM AWARE WHEN ONE OF THEIR FLIGHTS HAS  BEEN IMPACTED BY GNSS INTERFERENCE BY CONTACTING 907-269-1930.  F) SFC  G) UNL    CREATED: 12 SEP 2025 17:23  SOURCE: PAZA"
Algeria,107699381687386112,A1116/2026,DAAA,2026-04-15T00:01:00Z,2026-04-30T23:59:00Z,32.083333333333336,3.25,233,QWMLW,A1116/26 NOTAMN   Q) DAAA/QWMLW/IV/BO/W/000/999/3205N00315E233  A) DAAA B) 2604150001 C) 2604302359  D) H24  E) FRNG EXER G/A WILL TAKE PLACE WI AREA  PSN:  345925N 0023116E  345925N 0023616E  345425N 0023116E  345425N 0023616E  F) GND G) UNL    CREATED: 08 APR 2026 11:18  SOURCE: DAAAYNYX
Angola,107488260439323661,A221/2014,FNAN,2014-08-12T08:00:00Z,,-12.483333333333333,13.483333333333333,5,QFAXX,A0221/14 NOTAMN  Q) FNAN/QFAXX/IV/NBO/A/000/999/1229S01329E005  A) FNCT B) 1408120800 C) PERM  E) AD AVLB FOR ACFT WITH MTOW MORE THAN 23 TONS  DUE TO OPS REASONS  F) SFC G) UNL    CREATED: 22 MAY 2015 20:38  SOURCE: FNLUYNYX
Angola,107505850041676813,A67/2015,FNAN,2015-02-19T14:00:00Z,,-9.983333333333333,14.916666666666666,5,QFACS,A0067/15 NOTAMN  Q) FNAN/QFACS/IV/NBO/A/000/999/0959S01455E005  A) FNCU B) 1502191400 C) PERM  E) AD INSTL WITH FLW CHARACTERISTICS  NAME CALULO  OWNER ANGOLA AIR SERVICES  ALTITUDE 915 METERS  HOURS OF SERVICES HJ  FIRE FIGHTING SERVICES NOT AVLB  TYPE OF TRAFFIC VFR  DISTANCE FM THE CITY 7 KM  F) SFC G) UNL    CREATED: 22 MAY 2015 20:41  SOURCE: FNLUYNYX
Angola,107505850008122381,A65/2015,FNAN,2015-02-19T14:00:00Z,,-9.983333333333333,14.916666666666666,5,QMRCS,A0065/15 NOTAMN  Q) FNAN/QMRCS/IV/NBO/A/000/999/0959S01455E005  A) FNCU B) 1502191400 C) PERM  E) RWY INSTL WITH FLW CHARACTERISTIC  -LENGTH 1200M WIDTH 30M  -DESIGNATION OF RWY NUMBERS 01/19  -TYPE OF PAVIMENT ASPHALT  -PCN 16/F/A/Y/T  -CRITICAL ACFT EMB110  F) SFC G) UNL    CREATED: 22 MAY 2015 20:40  SOURCE: FNLUYNYX
Angola,107505849924236301,A60/2015,FNAN,2015-02-18T14:00:00Z,,-9.966666666666667,14.916666666666666,5,QMNCS,A0060/15 NOTAMN  Q) FNAN/QMNCS/IV/B/A/000/999/0958S01455E005  A) FNCU B) 1502181400 C) PERM  E) APRON INSTL WITH FLW CHARACTERISTIC  -PCN 16/F/A/Y/T  -LENGTH 69M WIDTH 58M  F) SFC G) UNL    CREATED: 22 MAY 2015 20:40  SOURCE: FNLUYNYX
Angola,107505849890681869,A58/2015,FNAN,2015-02-18T14:00:00Z,,-9.966666666666667,14.916666666666666,5,QMXCS,A0058/15 NOTAMN  Q) FNAN/QMXCS/IV/M/A/000/999/0958S01455E005  A) FNCU B) 1502181400 C) PERM  E) TWY INSTL WITH FLW CHARACTERISTIC  -WIDTH 12M  PCN 16/F/A/T  F) SFC G) UNL    CREATED: 22 MAY 2015 20:40  SOURCE: FNLUYNYX
Oman,107699366722484620,A224/2026,OOMM,2026-04-14T17:00:00Z,2026-07-12T02:30:00Z,21.083333333333332,57.6,,QPFLT,A0224/26 NOTAMN  Q) OOMM/QPFLT/IV/NBO/E/000/999/2105N05736E999  A) OOMM B) 2604141700 C) 2607120230  D) DLY BTN 1700 / 0230  E) FLOW CONTROL MEASURES HAVE BEEN IMPLEMENTED FOR UAE DEPARTURES FROM  1700 TO 0230  UTC:    1) 3 MINUTES LONGITUDINAL SEPARATION BETWEEN ANY TWO SUCCESSIVE  DEPARTURES ENTERING OOMM FIR VIA POSITIONS LABRI OR TARDI (LABRI AND  TARDI SHALL BE CONSIDERED AS TWO POINTS).    NOTES:  1- ALL UAE DEPARTURES LANDING AT OOMS/OOSH/OOSA ARE EXEMPTED FROM  THESE FLOW MEASURES.    2- ALL UAE DEPARTURE VIA MEMTU ARE EXEMPTED FROM THESE FLOW MEASURES.    F) SFC G) UNL    CREATED: 13 APR 2026 16:16  SOURCE: OOMSYNYX
Oman,107699365145426316,A130/2026,OOMM,2026-02-20T17:00:00Z,2026-05-20T03:00:00Z,21.083333333333332,57.6,1,QXXXX,"A0130/26 NOTAMR A0783/25  Q) OOMM/QXXXX/IV/NBO/E/000/999/2105N05736E001  A) OOMM B) 2602201700 C) 2605200300  D) DLY BTN 1700/0300  E) DUE TO HIGH DENSITY TRAFFIC IN MUSCAT FIR CONCENTRATED OVER POINTS  RASKI AND PARAR:  1- TRAFFIC DESTINED FOR VABB, RPLL AND VGHS ARE NOT PERMITTED  TO ROUTE VIA POINT RASKI.  2- TRAFFIC DESTINED FOR WSSS, VTSP AND VTBS ARE NOT PERMITTED TO  ROUTE VIA POINTS RASKI AND PARAR.  OPERATORS ARE REQUESTED TO PLAN ALTERNATIVE ROUTES ACCORDINGLY.  F) SFC G) UNL  CREATED: 20 FEB 2026 07:33  SOURCE: OOMSYNYX"
