country,id,notam_id,fir,from_utc,to_utc,lat,lon,radius_nm,qcode,raw
Alaska,107699365866865440,A173/2026,PAZA,2026-03-13T21:33:00Z,2026-12-31T23:59:00Z,,,,QXXXX,A0173/26 NOTAMN  Q) PAZA/QXXXX//////  A) PAZA  B) 2603132133  C) 2612312359  E) IT IS NO LONGER REQUIRED TO SEND A CPDLC POSITION REPORT TO  CONFIRM CPDLC CDA WHEN ENTERING THE ANCHORAGE ARTCC PAZA FIR. CPDLC  CDA IS CONFIRMED BY THE &quot;SET MAX UPLINK DELAY VALUE TO 300 SEC&quot;  UPLINK AND &quot;ROGER&quot; DOWNLINK MESSAGE EXCHANGE.  F) SFC  G) UNL    CREATED: 13 MAR 2026 21:51  SOURCE: PAZA
Alaska,107681789837280032,A1136/2025,PAZA,2025-09-12T18:00:00Z,2026-09-11T23:59:00Z,,,,QXXXX,"A1136/25 NOTAMN  Q) PAZA/QXXXX////000/999/  A) PAZA  B) 2509121800  C) 2609112359  E) ATTENTION ALL FLIGHT OPERATORS. FLIGHTS THAT EXPERIENCE OR  SUSPECT GNSS INTERFERENCE ENROUTE TO THE ANCHORAGE OCEANIC ENTRY   POINT MUST NOTIFY ANCHORAGE ATC. NOTIFICATION SHOULD BE VIA CPDLC,   SFO RADIO, OR SATCOM, CONFIRMING DEGRADATION OF NAVIGATION STATUS   AND DETAILS OF ONGOING LOSS/IMPACTS TO THE AIRCRAFT SYSTEMS AND  CAPABILITIES.     EXAMPLES OF NOTIFICATION:  GNSS INTERFERENCE RNP10 ONLY  NO DATA LINK  DEGRADED NAVIGATION NO GNSS    IN ADDITION, AIRLINE DISPATCHERS CAN DIRECTLY INFORM THE ANCHORAGE  OCEANIC SUPERVISOR TO MAKE THEM AWARE WHEN ONE OF THEIR FLIGHTS HAS  BEEN IMPACTED BY GNSS INTERFERENCE BY CONTACTING 907-269-1930.  F) SFC  G) UNL    CREATED: 12 SEP 2025 17:23  SOURCE: PAZA"
Angola,107488260439323661,A221/2014,FNAN,2014-08-12T08:00:00Z,,-12.483333333333333,13.483333333333333,5,QFAXX,A0221/14 NOTAMN  Q) FNAN/QFAXX/IV/NBO/A/000/999/1229S01329E005  A) FNCT B) 1408120800 C) PERM  E) AD AVLB FOR ACFT WITH MTOW MORE THAN 23 TONS  DUE TO OPS REASONS  F) SFC G) UNL    CREATED: 22 MAY 2015 20:38  SOURCE: FNLUYNYX
Angola,107505850041676813,A67/2015,FNAN,2015-02-19T14:00:00Z,,-9.983333333333333,14.916666666666666,5,QFACS,A0067/15 NOTAMN  Q) FNAN/QFACS/IV/NBO/A/000/999/0959S01455E005  A) FNCU B) 1502191400 C) PERM  E) AD INSTL WITH FLW CHARACTERISTICS  NAME CALULO  OWNER ANGOLA AIR SERVICES  ALTITUDE 915 METERS  HOURS OF SERVICES HJ  FIRE FIGHTING SERVICES NOT AVLB  TYPE OF TRAFFIC VFR  DISTANCE FM THE CITY 7 KM  F) SFC G) UNL    CREATED: 22 MAY 2015 20:41  SOURCE: FNLUYNYX
Angola,107505850008122381,A65/2015,FNAN,2015-02-19T14:00:00Z,,-9.983333333333333,14.916666666666666,5,QMRCS,A0065/15 NOTAMN  Q) FNAN/QMRCS/IV/NBO/A/000/999/0959S01455E005  A) FNCU B) 1502191400 C) PERM  E) RWY INSTL WITH FLW CHARACTERISTIC  -LENGTH 1200M WIDTH 30M  -DESIGNATION OF RWY NUMBERS 01/19  -TYPE OF PAVIMENT ASPHALT  -PCN 16/F/A/Y/T  -CRITICAL ACFT EMB110  F) SFC G) UNL    CREATED: 22 MAY 2015 20:40  SOURCE: FNLUYNYX
Angola,107505849924236301,A60/2015,FNAN,2015-02-18T14:00:00Z,,-9.966666666666667,14.916666666666666,5,QMNCS,A0060/15 NOTAMN  Q) FNAN/QMNCS/IV/B/A/000/999/0958S01455E005  A) FNCU B) 1502181400 C) PERM  E) APRON INSTL WITH FLW CHARACTERISTIC  -PCN 16/F/A/Y/T  -LENGTH 69M WIDTH 58M  F) SFC G) UNL    CREATED: 22 MAY 2015 20:40  SOURCE: FNLUYNYX
Angola,107505849890681869,A58/2015,FNAN,2015-02-18T14:00:00Z,,-9.966666666666667,14.916666666666666,5,QMXCS,A0058/15 NOTAMN  Q) FNAN/QMXCS/IV/M/A/000/999/0958S01455E005  A) FNCU B) 1502181400 C) PERM  E) TWY INSTL WITH FLW CHARACTERISTIC  -WIDTH 12M  PCN 16/F/A/T  F) SFC G) UNL    CREATED: 22 MAY 2015 20:40  SOURCE: FNLUYNYX
Paraguay,107699366739384480,A225/2026,SGFA,2026-04-09T10:02:00Z,2026-07-08T21:14:00Z,-25.0,-57.63333333333333,,QRDCA,"A0225/26 NOTAMN  Q) SGFA/QRDCA/IV/BO/W/000/080/2500S05738W999  A) SGXX B) 2604091002 C) 2607082114  D) BTN SR-SS  E) SGD-2 PALMAR ACT COORD    S250000 W0573830  S250815 W0573420  S251100 W0573800  S250710 W0574615    AIP PARAGUAY ENR 5,1-3        F) GND G) FL080    CREATED: 08 APR 2026 18:28  SOURCE: SGASYNYY"
Germany,107699914783460550,B123/2026,EDGG,2026-04-01T00:00:00Z,2026-06-30T22:00:00Z,52.25,7.983333333333333,1,QWOLW,B0123/26 NOTAMN  Q) EDGG/QWOLW/IV/M  /W /000/999/5215N00759E001  A) EDGG B) 2604010000 C) 2606302200  D) DAILY SS PLUS30 - 2200  E) LASER ACTIVITIES/SKYBEAMER RADIUS 0.5NM CENTERED ON 521511N  0075914E  OSNABRUECK (8.9NM NE MUENSTER/OSNABRUECK NDB MYN)  F) GND G) UNL    CREATED: 04 MAR 2026 08:19  SOURCE: EUECYIYN
Puerto Rico,107681771718027058,A56/2025,TJZS,2025-05-21T13:05:00Z,,,,,QPDXX,A0056/25 NOTAMN  Q) TJZS/QPDXX////000/999/  A) TJZS  B) 2505211305  C) PERM  E) TJSJ ACONY THREE DEPARTURE: AIRCRAFT SHALL FLY DIRECT TO NEXT FIX  ON FLIGHT PLAN AFTER PALDE AND THEN AS FILED.  F) SFC  G) UNL    CREATED: 21 MAY 2025 13:16  SOURCE: TJZS
