msgID,category,from_utc,to_utc,msgText
,Daily Memo,,,"To receive Broadcast Warning messages via email, go to
msi.nga.mil and click on the 'NAVIGATION WARNINGS' button
under the 'Subscription Services' section.
The In-Force Navigational Warnings obtained via this
service and the availability of Navigational Warnings
via alternate NGA subscription services does not relieve
Masters / Captains of the requirement to receive
Navigational Warnings through IMO approved broadcast
services in accordance with the provisions of the
International Convention for the Safety of Life at
Sea (SOLAS). This information is provided as a
supplement to those approved services."
,Daily Memo,,,"232007Z SEP 26
NAVAREA IV 923/26.
1. NORTH AMERICAN ICE SERVICE (NAIS)
   ICEBERG BULLETIN 240001Z SEP.
2. ICEBERG LIMIT ALONG TRACKLINE JOINING
   49-30N 055-10W, 51-30N 053-30W,
   54-00N 053-30W, 60-00N 058-00W.
3. ESTIMATED ICEBERG LIMIT ALONG
   TRACKLINE JOINING
   60-00N 058-00W, 61-25N 054-35W,
   59-05N 047-45W, 58-55N 042-25W,
   62-40N 038-40W, 63-40N 027-25W.
4. WESTERN ICEBERG LIMIT ALONG TRACKLINE
   JOINING
   51-39N 056-43W, 51-28N 056-15W.
5. MOST RECENT RECONNAISSANCE:
   EASTERN LIMIT SATELLITE PASS 23 SEP 26.
6. REPORT POSITION AND TIME OF ANY ICEBERGS
   SEA ICE OR STATIONARY RADAR TARGETS THAT
   MAY LIKELY BE ICE TO THE NEAREST CANADIAN
   COAST GUARD MARINE COMMUNICATIONS AND
   TRAFFIC SERVICE STATION OR
   USING INMARSAT CODE 42.
7. FOR MORE REPORTING INFORMATION OR TO
   DOWNLOAD SHAPEFILES AND WEEKLY PREDICTIONS,
   GO TO WWW.NAVCEN.USCG.GOV/INTERNATIONAL-ICE-PATROL.
8. CANCEL THIS MSG 250001Z SEP 26."
,Daily Memo,,,"172137Z SEP 26
NAVAREA IV 922/26.
GULF OF AMERICA.
YUCATAN CHANNEL.
TEXAS.
1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING 
   281215Z TO 281414Z SEP, ALTERNATE 
   1215Z TO 1414Z DAILY 29 SEP THRU 04 OCT
   IN AREAS BOUND BY:
   A. 25-58.00N 097-13.00W, 26-02.00N 097-13.00W,
      26-04.00N 097-10.00W, 26-04.00N 097-04.00W,
      26-04.00N 096-49.00W, 26-01.00N 096-17.00W,
      26-01.00N 095-12.00W, 25-59.00N 094-36.00W,
      25-59.00N 094-05.00W, 25-25.00N 093-06.00W,
      25-31.00N 091-46.00W, 23-32.00N 088-52.00W,
      23-04.00N 088-33.00W, 22-03.00N 086-24.00W,
      21-38.00N 084-59.00W, 20-59.00N 082-38.00W,
      20-43.00N 081-42.00W, 20-07.00N 079-44.00W,
      19-46.00N 078-47.00W, 19-23.00N 078-04.00W,
      19-19.00N 078-18.00W, 19-34.00N 079-19.00W,
      19-44.00N 079-44.00W, 20-12.00N 081-13.00W,
      20-43.00N 083-13.00W, 21-06.00N 084-54.00W,
      21-43.00N 086-42.00W, 21-59.00N 087-26.00W,
      22-39.00N 089-10.00W, 22-45.00N 089-41.00W,
      22-58.00N 092-36.00W, 24-18.00N 095-02.00W,
      25-38.00N 096-49.00W, 25-48.00N 097-05.00W.
   B. 25-12.00N 092-58.00W, 25-31.00N 093-52.00W,
      25-42.00N 095-24.00W, 26-02.00N 096-32.00W,
      26-04.00N 096-49.00W, 26-04.00N 097-04.00W,
      26-04.00N 097-10.00W, 26-02.00N 097-13.00W,
      25-58.00N 097-13.00W, 25-48.00N 097-05.00W,
      25-41.00N 096-47.00W, 25-02.00N 095-05.00W,
      24-29.00N 094-08.00W, 24-20.00N 093-32.00W,
      24-25.00N 092-52.00W, 24-45.00N 092-43.00W.
2. CANCEL THIS MSG 041514Z OCT 26."
,Daily Memo,,,"141320Z SEP 26
NAVAREA IV 918/26.
NORTH ATLANTIC.
GUYANA.
1. SURVEY OPERATIONS 27 SEP THRU 23 OCT 
   BY TUG DONA JOSE II AND 
   M/V EXXONMOBIL GUYANA LIMITED 
   IN AREA BOUND BY
   08-48.42N 057-24.76W, 08-07.63N 056-43.42W,
   07-42.03N 056-17.69W, 07-36.69N 056-36.30W,
   07-58.32N 057-03.55W, 08-35.01N 057-36.74W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 240001Z OCT 26."
,Daily Memo,,,"212316Z SEP 26
NAVAREA IV 917/26.
CARIBBEAN SEA.
TRINIDAD AND TOBAGO.
1. CHUPARA POINT LIGHT IN 10-48.72N 061-21.86W 
   CHANGED TO FL 10 SEC 12 MILES.
2. CANCEL NAVAREA IV 907/26 AND 161/26."
,Daily Memo,,,"181626Z SEP.
NAVAREA IV 905/26.
1. NAVAREA IV WARNINGS IN FORCE AS OF 181626Z SEP. 
   ALL THE INFORCE WARNINGS ARE LISTED HERE.
   904/2026, 903/2026, 902/2026, 901/2026, 899/2026, 
   898/2026, 893/2026, 892/2026, 878/2026, 877/2026, 
   871/2026, 870/2026, 859/2026, 857/2026, 842/2026, 
   832/2026, 831/2026, 822/2026, 817/2026, 798/2026, 
   709/2026, 705/2026, 684/2026, 682/2026, 670/2026, 
   662/2026, 658/2026, 653/2026, 649/2026, 621/2026, 
   616/2026, 615/2026, 601/2026, 586/2026, 556/2026, 
   552/2026, 551/2026, 545/2026, 539/2026, 525/2026, 
   452/2026, 451/2026, 413/2026, 345/2026, 306/2026, 
   222/2026, 161/2026, 113/2026, 98/2026, 79/2026, 
   55/2026, 53/2026, 7/2026. 
   1431/2025, 1430/2025, 1413/2025, 1391/2025, 
   1292/2025, 1282/2025, 1175/2025, 1174/2025, 
   1158/2025, 1114/2025, 998/2025, 872/2025, 
   829/2025, 789/2025, 761/2025, 693/2025, 671/2025, 
   667/2025, 663/2025, 650/2025, 644/2025, 643/2025, 
   616/2025, 563/2025, 504/2025, 466/2025, 354/2025, 
   312/2025, 311/2025, 190/2025, 183/2025, 155/2025,
   130/2025, 90/2025, 12/2025. 
   1553/2024, 1524/2024, 1382/2024, 1125/2024, 797/2024, 
   746/2024, 722/2024, 703/2024, 702/2024, 701/2024, 
   437/2024, 325/2024, 214/2024, 151/2024, 12/2024. 
   1404/2023, 1403/2023, 1377/2023, 873/2023, 356/2023, 
   222/2023. 
   748/2022, 441/2022, 439/2022, 367/2022, 227/2022, 
   141/2022, 120/2022. 
   1157/2021, 1003/2021, 778/2021, 278/2021, 277/2021, 144/2021.
2. THE COMPLETE TEXT OF ALL IN-FORCE NAVAREA IV
   BROADCAST WARNINGS ARE AVAILABLE ON THE NGA
   MARITIME SAFETY INFORMATION WEBSITE AT:
   MSI.NGA.MIL/NAVWARNINGS.
   ALTERNATIVELY, THESE MAY BE REQUESTED BY E-MAIL
   FROM THE NAVAREA IV COORDINATOR AT NAVSAFETY@NGA.MIL.
3. CANCEL NAVAREA IV 852/26, 876/26.
181439Z SEP 26
NAVAREA IV 902/26
CARIBBEAN SEA.
GUADELOUPE.
POINTE DU VIEUX FORT LIGHT 15-56.90N 061-42.46W.
UNLIT."
,Daily Memo,,,"181412Z SEP 26
NAVAREA IV 901/26
CARIBBEAN SEA.
GUADELOUPE.
ILET DU GOSIER LIGHT 16-11.90N 061-29.44W AT 
REDUCED INTENSITY."
,Daily Memo,,,"171637Z SEP 26
NAVAREA IV 898/26
1. NAVAREA IV MOBILE OFFSHORE DRILLING UNITS
   POSITIONS AT 171600Z SEP:
   A. AGOSTO 12 19-23.0N 092-03.1W.
   B. ARGOS PLATFORM 27-10.4N 090-22.0W.
   C. ATLANTIS 19-23.9N 092-02.3W.
   D. AUGER TLP 27-32.7N 092-26.6W.
   E. (NEW POSITION) BLUE EAGLE 18-31.8N 093-20.3W.
   F. (NEW POSITION) BORR RAN 18-20.4N 093-53.6W.
   G. (NEW RIG) BORR SIF 07-08.3N 055-41.1W.
   H. BP ATLANTIS PLATFORM 27-11.7N 090-01.6W.
   I. (NEW RIG) CAMPECHE 19-33.7N 092-11.0W.
   J. CENTENARIO GR 21-07.7N 097-08.1W.
   K. (NEW POSITION) CHIHUAHUA 19-17.7N 091-57.5W.
   L. CME I 19-34.6N 092-02.7W.
   M. CME II 18-34.4N 092-46.2W.
   N. (NEW POSITION) COATZACOALCOS 18-14.0N 094-12.9W.
   O. CPOC MAGNOLIA 27-12.2N 092-12.2W.
   P. (NEW POSITION) DEEPWATER ATLAS 26-40.1N 091-33.5W.
   Q. (NEW POSITION) DEEPWATER CONQUEROR
      27-19.0N 090-45.1W.
   R. DEEPWATER INVICTUS 26-42.4N 092-38.5W.
   S. (NEW POSITION) DEEPWATER PONTUS 28-50.6N 090-05.7W.
   T. DEEPWATER POSEIDON 26-10.5N 094-46.4W.
   U. DEEPWATER PROTEUS 26-31.2N 090-31.8W.
   V. DEEPWATER THALASSA 25-45.0N 095-24.3W.
   W. DEEPWATER TITAN 27-09.1N 091-12.7W.
   X. DEFENDER 18-28.6N 094-01.9W.
   Y. DEVELOPMENT DRILLER III 10-38.5N 061-39.0W.
   Z. ERREA WITTU 08-00.3N 056-50.4W.
   AA. ESSAR WILDCAT 18-51.5N 091-45.7W.
   AB. FRIDA I 19-36.1N 092-31.6W.
   AC. (NEW POSITION) GALAR 18-44.5N 093-07.2W.
   AD. GERSEMI 19-02.5N 092-14.8W.
   AE. GULF DRILLER VI 19-23.1N 092-20.8W.
   AF. GULF DRILLER VIII 18-29.9N 094-00.4W.
   AG. H&P RIG 205 26-06.8N 094-53.2W.
   AH. (NEW POSITION) HELIX Q5000 27-47.6N 092-02.0W.
   AI. (NEW POSITION) HILD 18-49.0N 091-46.0W.
   AJ. (NEW POSITION) INDEPENDENCIA 1 19-02.5N 092-26.6W.
   AK. (NEW RIG) INDEPENDENCIA 2 12-23.2N 070-08.5W.
   AL. (NEW POSITION) IOLAIR 19-36.0N 092-14.1W.
   AM. JACK ST MALO 26-14.1N 091-15.7W.
   AN. (NEW RIG) JOE DOUGLAS 09-59.9N 060-31.9W.
   AO. KUKULKAN 18-16.4N 094-03.6W.
   AP. (NEW POSITION) LA COVADONGA 19-29.3N 091-57.9W. 
   AQ. LA SANTA MARIA 18-36.8N 093-17.7W.
   AR. LIZA DESTINY 08-00.7N 056-59.5W.
   AS. LIZA UNITY 08-00.6N 056-54.9W.
   AT. MAD DOG 27-11.3N 090-16.1W.
   AU. MARLIN TLP 29-06.5N 087-56.7W.
   AV. MARS TLP 28-10.4N 089-13.4W.
   AW. MAZU 18-18.9N 093-49.6W. (NEW RIG)
   AX. MIAMTE MV34 18-24.3N 093-46.2W.
   AY. NABARIMA 10-14.8N 062-09.0W.
   AZ. NFE PIONEER III 22-39.2N 097-40.8W.
   AAA. (NEW POSITION) NJORD 19-15.9N 092-26.2W.
   AAB. NOBLE BLACKHAWK 27-13.4N 090-58.3W.
   AAC. NOBLE BLACKHORNET 27-13.5N 090-01.9W.
   AAD. NOBLE BLACKLION 27-08.8N 090-19.1W.
   AAE. NOBLE BLACKRHINO 28-53.6N 090-07.1W.
   AAF. NOBLE BOB DOUGLAS 08-00.1N 056-42.7W.
   AAG. (NEW POSITION) NOBLE DEVELOPER
        07-16.7N 055-47.1W.
   AAH. (NEW POSITION) NOBLE DISCOVERER
        12-16.9N 072-38.7W.
   AAI. NOBLE DON TAYLOR 07-54.9N 056-39.9W.
   AAJ. (NEW RIG) NOBLE GLOBETROTTER II
        28-51.4N 090-07.4W.
   AAK. (NEW POSITION) NOBLE SAM CROFT
        08-00.1N 056-42.8W.
   AAL. (NEW POSITION) NOBLE STANLEY LAFOSSE
        27-29.6N 090-03.5W.
   AAM. (NEW POSITION) NOBLE TOM MADDEN 07-52.1N 056-39.5W.
   AAN. (NEW POSITION) NOBLE VOYAGER 26-43.1N 091-25.4W.
   AAO. OLYMPUS N88 28-09.6N 089-12.8W.
   AAP. ONE GUYANA 07-57.4N 056-43.0W.
   AAQ. (NEW POSITION) PAPALOAPAN 19-33.4N 092-12.9W.
   AAR. PERRO NEGRO 10 18-20.2N 093-52.2W.
   AAS. PIONEER 26-41.7N 090-30.6W.
   AAT. PROSPERITY 08-11.7N 057-00.2W.
   AAU. (NEW RIG) RALPH COFFMAN 10-09.6N 060-45.7W.
   AAV. (NEW RIG) ROWAN RELENTLESS 28-50.0N 090-06.9W.
   AAW. (NEW POSITION) SANDUNGA 18-52.9N 091-49.0W.
   AAX. SEAROSE FPSO 46-47.2N 048-00.8W.
   AAY. (NEW POSITION) SEVAN LOUISIANA
        28-39.9N 090-01.8W.
   AAZ. SHELL WHALE 26-13.4N 094-40.4W.
   AAAA. STENA CARRON 08-53.1N 057-19.7W.
   AAAB. STENA EVOLUTION 27-02.4N 092-14.6W.
   AAAC. (NEW RIG) TABASCO 19-35.5N 092-16.3W.
   AAAD. TAHITI SPAR 27-19.6N 090-42.9W.
   AAAE. TERRA NOVA 46-28.3N 048-27.9W.
   AAAF. THUNDER HORSE PDQ 28-11.4N 088-29.7W.
   AAAG. (NEW RIG) TURRITELLA 26-25.7N 090-48.8W.
   AAAH. TUXPAN 18-45.8N 091-45.7W.
   AAAI. UXPANAPA 18-32.4N 093-17.7W.
   AAAJ. VALARIS DS-16 27-23.5N 090-15.7W.
   AAAK. VITO FPU 28-01.5N 089-12.6W.
   AAAL. (NEW POSITION) WEST COURAGEOUS
         19-10.3N 092-25.7W.
   AAAM. (NEW POSITION) WEST INTREPID
         19-34.6N 092-02.8W.
   AAAN. WEST NEPTUNE 26-14.5N 092-22.7W.
   AAAO. (NEW POSITION) WEST VELA
         26-11.4N 092-07.9W.
   AAAP. WFD 400 28-41.0N 090-08.9W.
   AAAQ. YUNUEN 19-32.4N 092-10.5W.
   AAAR. YUUM K'AK' NAAB 19-36.7N 092-17.9W.
2. TO REPORT A MOBILE OFFSHORE DRILLING UNIT AS
   PER IMO RESOLUTION A.1023(26), PARAGRAPH 11.5.1,
   CONTACT NAVSAFETY@NGA.MIL SUBJ: MODU REPORT.
3. CANCEL NAVAREA IV 872/26.
160038Z SEP 26
NAVAREA IV 892/26.
CARIBBEAN SEA.
PANAMA.
SEVEN METER VESSEL, WHITE HULL WITH BLUE
STRIPE, THREE PERSONS ON BOARD. SEARCH AND
RESCUE OPERATIONS IN PROGRESS IN VICINITY
09-21.68N 080-54.84W. VESSELS IN VICINITY
REQUESTED TO KEEP A SHARP LOOKOUT, ASSIST
IF POSSIBLE, REPORTS TO ANY COASTAL RADIO STATION."
,Daily Memo,,,"111709Z SEP 26
NAVAREA IV 878/26
CARIBBEAN SEA.
VENEZUELA.
CABO NEGRO LIGHT IN 11-10.46N 063-53.05W.
ESTABLISHED, FL W 5S 69 METERS 11 MILES."
,Daily Memo,,,"111656Z SEP 26
NAVAREA IV 877/26
NORTH ATLANTIC.
TRINIDAD AND TOBAGO.
1. PIPELINE OPERATIONS IN PROGRESS UNTIL
   222200Z OCT BY TUG CARIB SUN AND BARGE PTM 506
   ALONG TRACKLINE JOINING
   10-06.83N 060-49.74W, 10-10.62N 060-39.87W,
   10-10.66N 060-39.86W, 10-20.72N 060-40.74W,
   10-19.97N 060-41.00W, 10-20.00N 060-41.53W.
   500 YARD BERTH REQUESTED.
2. CANCEL THIS MSG 222200Z OCT 26."
